prob,n,search_name,mean_times,ci95_times,mean_expanded,ci95_expanded
0.1,256,astar,0.0056012999592348935,0.002208357025201701,1741.16,678.7580714085789
0.1,256,jps,0.0060317483171820644,0.002284504615523911,479.36,178.71595844251476
0.1,512,astar,0.023101698401151224,0.009166979079260923,6584.12,2540.075565144019
0.1,512,jps,0.027222739999415352,0.011132528123391366,2085.8,854.6397598863903
0.1,1024,astar,0.08490353168104775,0.037661325282709796,23893.84,10830.899173786494
0.1,1024,jps,0.09487739179749041,0.04127480791231982,7247.16,3169.442039428122
0.25,256,astar,0.013348919880809263,0.004669318643941247,4606.44,1606.3325259685266
0.25,256,jps,0.012586438357830047,0.0043834075499822635,1691.88,594.3425148753648
0.25,512,astar,0.04645398164051585,0.013307758013228768,15408.52,4390.834277654984
0.25,512,jps,0.044305913235293704,0.012756561896335752,5735.6,1633.2778983659416
0.25,1024,astar,0.4225017316441517,0.2584870279589302,121984.28,70712.83235412494
0.25,1024,jps,0.39030724992160687,0.2514890574330124,46334.0,28275.981376237938
0.5,256,astar,0.00012294668005779385,5.892659627078071e-05,52.92,26.028406422727205
0.5,256,jps,0.00011288327863439917,5.495867192195169e-05,21.0,10.458640319531662
0.5,512,astar,0.00012150163995102048,8.309847894911791e-05,48.48,33.48792929758423
0.5,512,jps,0.0001077466388233006,7.393444799276435e-05,18.84,12.759926160705893
0.5,1024,astar,0.00024294160190038383,0.00015633120737427807,89.68,57.23375860311813
0.5,1024,jps,0.00021191004081629215,0.00013616601224827445,33.44,21.320524081113327
0.75,256,astar,9.191803401336074e-06,2.8821049479543268e-06,3.64,1.2645671301542936
0.75,256,jps,8.550077909603715e-06,2.905080456753007e-06,1.84,0.5020049402147353
0.75,512,astar,1.0228281607851387e-05,3.2312921365970453e-06,3.44,1.012645591178539
0.75,512,jps,9.165118681266904e-06,3.453835652248366e-06,1.64,0.5045493302608445
0.75,1024,astar,1.4225046616047621e-05,5.074614269105983e-06,4.88,1.7939443618276831
0.75,1024,jps,1.3035039883106947e-05,4.600849256487367e-06,2.48,0.7256413071667479
