n,prob,search_name,mean_times,ci95_times,mean_expanded,ci95_expanded
64,0.1,astarw,0.360129666980356,,687.0,
64,0.1,jpsw,0.39225508298841305,,687.0,
128,0.1,astarw,9.543403125018813,,4313.0,
128,0.1,jpsw,9.535871125000995,,4313.0,
256,0.1,astarw,131.15870887500932,,15104.0,
256,0.1,jpsw,122.753891209024,,15104.0,
64,0.25,astarw,0.5712403749930672,,1204.0,
64,0.25,jpsw,0.6183708750177175,,1204.0,
128,0.25,astarw,6.109892208012752,,3307.0,
128,0.25,jpsw,6.063329958007671,,3307.0,
256,0.25,astarw,115.09865033399547,,15673.0,
256,0.25,jpsw,108.11370579098002,,15673.0,
64,0.5,astarw,0.008477124996716157,,25.0,
64,0.5,jpsw,0.009112375002587214,,25.0,
128,0.5,astarw,0.017793000006349757,,13.0,
128,0.5,jpsw,0.01815629200427793,,13.0,
256,0.5,astarw,0.4758775420195889,,88.0,
256,0.5,jpsw,0.46893283299868926,,88.0,
64,0.75,astarw,0.00023920799139887094,,1.0,
64,0.75,jpsw,0.00023458301438950002,,1.0,
128,0.75,astarw,0.0008763330115471035,,1.0,
128,0.75,jpsw,0.0008862079994287342,,1.0,
256,0.75,astarw,0.013872750016162172,,4.0,
256,0.75,jpsw,0.013741208997089416,,4.0,
