n,prob,search_name,mean_times,ci95_times,mean_expanded,ci95_expanded
8,0.1,astarw,0.00026600041979691014,3.2505173427462395e-05,15.16,2.0702842800939294
8,0.1,jpsw,0.0015092175212339499,0.00022962695804849348,15.16,2.0702842800939294
12,0.1,astarw,0.0009147987709729932,0.00012732590937465855,30.83,4.744007803321977
12,0.1,jpsw,0.003580233288521413,0.0005594060682512109,30.83,4.744007803321977
20,0.1,astarw,0.006191289621347096,0.0008528744592915021,91.67,13.33172775854198
20,0.1,jpsw,0.01475269252085127,0.0021279343432471427,91.67,13.33172775854198
8,0.25,astarw,0.00020252292189979927,2.627261172279687e-05,15.62,2.1938738418467443
8,0.25,jpsw,0.0007764611724996939,0.00012258567202881804,15.62,2.1938738418467443
12,0.25,astarw,0.0007761496194871142,0.00010656270809930827,31.84,4.628803478963942
12,0.25,jpsw,0.0025188124802662058,0.00038299330525764776,31.84,4.628803478963942
20,0.25,astarw,0.004926965768390801,0.0007349640595863343,90.46,14.197270204763687
20,0.25,jpsw,0.00987751119042514,0.001528943983618992,90.46,14.197270204763687
8,0.5,astarw,8.343048044480383e-05,1.2131993185638744e-05,8.46,1.2318944491056747
8,0.5,jpsw,0.00024257587851025163,4.686578610605887e-05,8.46,1.2318944491056747
12,0.5,astarw,0.00027117207850096747,5.3460131758516545e-05,15.07,2.8703783303237085
12,0.5,jpsw,0.0006373534095473587,0.0001511561730316619,15.07,2.8703783303237085
20,0.5,astarw,0.001010796189075336,0.00018883811603916673,25.13,4.700753248215233
20,0.5,jpsw,0.0015743366596871055,0.00031334307349359283,25.13,4.700753248215233
8,0.75,astarw,1.993151167162547e-05,3.365522323902226e-06,2.723684210526316,0.4550167551428817
8,0.75,jpsw,3.396981437139115e-05,7.654668350142579e-06,2.723684210526316,0.4550167551428817
12,0.75,astarw,3.6577061109710485e-05,6.842955423810363e-06,2.87,0.5050374619568314
12,0.75,jpsw,6.594540987862273e-05,2.2642504596286604e-05,2.87,0.5050374619568314
20,0.75,astarw,8.747252926696092e-05,1.5213893653986411e-05,3.14,0.5329738242857124
20,0.75,jpsw,0.00010846794059034437,2.1798437325266766e-05,3.14,0.5329738242857124
