algo,n,scen_name,mean_times,ci95_times,mean_expanded,ci95_expanded
astar,512,maze512-4-4.map,0.7663921665007365,0.07666368401638465,239912.5,29201.059999999998
jps,512,maze512-4-4.map,0.18479356249736156,0.018429185174463777,6096.0,825.16
astar,512,maze512-4-5.map,0.8600492914993083,0.012942860980401745,271495.0,8010.519999999999
jps,512,maze512-4-5.map,0.20133518800139427,0.0010909438363160006,6859.0,29.4
astar,512,maze512-8-6.map,0.9936619370018889,0.000331036160205258,300606.5,1392.58
jps,512,maze512-8-6.map,0.18890954149901518,0.003131671338196611,1999.5,46.059999999999995
astar,512,maze512-8-7.map,0.9714936664968263,0.034397428660304284,292505.0,6965.84
jps,512,maze512-8-7.map,0.1894923129984818,0.0009848588342720177,2008.0,74.48
astar,512,maze512-32-7.map,0.9625350410024112,0.05877942000501207,277180.5,15876.98
jps,512,maze512-32-7.map,0.1889935829967726,0.0018068749966914763,151.5,2.9399999999999995
astar,512,maze512-32-6.map,1.0568005000022822,0.0786227050004527,288733.0,13394.64
jps,512,maze512-32-6.map,0.19043347949627787,0.0014003798234625718,148.5,14.7
astar,512,maze512-2-0.map,0.5068616670032497,0.23945548732095628,171088.0,59938.76
jps,512,maze512-2-0.map,0.20684347950009396,0.07259558249847033,23360.5,7956.619999999999
astar,512,maze512-2-1.map,0.5559292920042935,0.07561475767914087,185619.0,4411.96
jps,512,maze512-2-1.map,0.22999795849682414,0.0140901136539469,25714.5,875.1399999999999
astar,512,maze512-1-4.map,0.24719493749944377,0.0796714274927217,110067.0,36573.6
jps,512,maze512-1-4.map,0.19006468749648775,0.06000331749775796,30479.5,10147.9
astar,512,maze512-1-5.map,0.24061568749675644,0.07273743750192807,102155.0,20121.359999999997
jps,512,maze512-1-5.map,0.1756149374996312,0.04070303286076522,28380.0,5560.519999999999
astar,512,maze512-16-0.map,1.0443910415015125,0.01663631633404293,305553.5,10161.619999999999
jps,512,maze512-16-0.map,0.22074831249847193,0.05428142482283874,600.5,4.9
