algo,prob,n,mean_times,ci95_times,mean_expanded,ci95_expanded
astar,0.1,3,7.520472585879774e-06,1.7993961333304537e-06,2.981818181818182,0.2454049954620122
jps,0.1,3,1.0108263284729962e-05,5.677507740712756e-07,2.4909090909090907,0.12844339006223168
astar,0.1,5,1.3984959999409814e-05,1.1586702091288268e-06,4.886666666666667,0.3931107008806874
jps,0.1,5,2.2140233049867674e-05,1.0014838727001e-06,3.1466666666666665,0.17529465603804328
astar,0.1,10,3.384947325685061e-05,4.4635697775454645e-06,10.553333333333333,1.5033665445321356
jps,0.1,10,5.3646139761743446e-05,3.895274597928654e-06,4.733333333333333,0.41403540000028144
astar,0.1,20,9.581693317159079e-05,1.2715157438694153e-05,30.153333333333332,4.090026365073308
jps,0.1,20,0.00012983477994566784,1.3883714100292266e-05,10.8,1.156248752100421
astar,0.1,30,0.00015568004018859938,1.795049715165038e-05,48.526666666666664,5.6806710218585215
jps,0.1,30,0.00020391610024186473,2.2658818622252012e-05,15.9,1.8544439882597805
astar,0.1,100,0.001212296646554023,0.00020305490672337714,387.86,66.5119211604335
jps,0.1,100,0.0014681677532886776,0.00024051227244377703,117.08,18.839795445846597
astar,0.1,500,0.029458806713664673,0.004720385473238225,8757.48,1412.0785011467574
jps,0.1,500,0.03425082644656262,0.005543664036540119,2661.4133333333334,433.27942323810856
astar,0.25,3,5.959275138313667e-06,5.715764425439856e-07,2.989010989010989,0.24975948983240104
jps,0.25,3,9.290296885000725e-06,6.75912923284005e-07,2.6043956043956045,0.17562616444708856
astar,0.25,5,1.2755553519430881e-05,1.2828529397196664e-06,5.506666666666667,0.5423815570589887
jps,0.25,5,1.7316940114445362e-05,1.3563212038610858e-06,3.4266666666666667,0.26439353670627186
astar,0.25,10,4.280550696421415e-05,7.066609593319494e-06,17.14,2.963657502817165
jps,0.25,10,4.756332646744947e-05,5.415494556708597e-06,7.453333333333333,0.8973877545317823
astar,0.25,20,0.00012816359376301988,2.214552465968711e-05,49.126666666666665,8.922178719259337
jps,0.25,20,0.00014234137367263126,2.0313990319392938e-05,20.813333333333333,3.113799434596959
astar,0.25,30,0.00021854641352547332,4.1406756132211175e-05,83.96666666666667,16.542898078035883
jps,0.25,30,0.00022927417948570412,4.0088231572952464e-05,33.34,6.273036642519256
astar,0.25,100,0.002181430513834736,0.0003994299203460116,799.0333333333333,143.9689080136914
jps,0.25,100,0.0021793330466607585,0.0004081925661238416,297.75333333333333,55.14186097036487
astar,0.25,500,0.0627255602334723,0.012099576939273738,20721.093333333334,3927.5633105740903
jps,0.25,500,0.059493482500402026,0.011676962510519733,7768.98,1514.190580440401
astar,0.5,3,5.550297487388889e-06,6.697566725214631e-07,2.890625,0.2899443942139787
jps,0.5,3,7.937500413390808e-06,8.3440453866245e-07,2.453125,0.23069800861853046
astar,0.5,5,7.160277871460292e-06,9.188398914074216e-07,3.625,0.4083333333333333
jps,0.5,5,8.312840186085345e-06,9.124978319307218e-07,2.1458333333333335,0.19600832830013823
astar,0.5,10,2.3121720005292445e-05,3.5904178710140473e-06,10.64,1.6119211500580526
jps,0.5,10,2.2124766401248054e-05,3.146728694161638e-06,4.493333333333333,0.5710937890170409
astar,0.5,20,5.613225381239317e-05,8.819683680361827e-06,25.593333333333334,3.9147828697954052
jps,0.5,20,5.1123612987188e-05,7.724035516642435e-06,9.96,1.4568384576004383
astar,0.5,30,5.30988933557334e-05,1.0910064106210356e-05,24.473333333333333,4.931293281998121
jps,0.5,30,4.9509466528737296e-05,1.0266247563231675e-05,9.74,1.9291006328656357
astar,0.5,100,0.00010925523320717427,2.3383774942611247e-05,49.266666666666666,10.299428889128142
jps,0.5,100,9.720026680345958e-05,2.0758868868470167e-05,18.466666666666665,3.8823585749386544
astar,0.5,500,0.00013040307332024288,2.6834554188156426e-05,55.6,11.715380528250043
jps,0.5,500,0.00011500201382053394,2.415335527513579e-05,21.166666666666668,4.6221851700746335
astar,0.75,3,2.6714117077918832e-06,4.690463002155797e-07,1.5,0.20687816215116703
jps,0.75,3,3.2769995039630245e-06,6.246089909969154e-07,1.3823529411764706,0.18530936756417832
astar,0.75,5,3.817869150052069e-06,5.771918346583316e-07,2.119047619047619,0.27455891363218604
jps,0.75,5,4.1904885230386365e-06,5.52357250256551e-07,1.4166666666666667,0.12513072147355594
astar,0.75,10,4.527532970920826e-06,5.957352163956177e-07,2.506666666666667,0.2935958345483315
jps,0.75,10,4.934453075596442e-06,6.60633133017102e-07,1.5333333333333334,0.14201297059792192
astar,0.75,20,7.728360263475527e-06,1.2600472391474851e-06,3.9133333333333336,0.5953170191992225
jps,0.75,20,7.085546773547927e-06,1.0709557612992387e-06,1.78,0.19522675211847712
astar,0.75,30,7.406993342253069e-06,1.0366227244232897e-06,3.6533333333333333,0.4457498599980625
jps,0.75,30,7.2069801778222125e-06,9.434228110298609e-07,1.8866666666666667,0.19404929345998445
astar,0.75,100,6.600186510089164e-06,9.622573426376114e-07,3.3133333333333335,0.45534457966923647
jps,0.75,100,6.510079886841898e-06,9.408176413097424e-07,1.7066666666666668,0.18683797061420995
astar,0.75,500,8.706440276000649e-06,1.218181094262284e-06,3.24,0.4815941730046531
jps,0.75,500,7.948646477113167e-06,1.2295040119043907e-06,1.6466666666666667,0.19191166374553922
